Delegator Address,Validator Address,Shares,Balance
core1r74s3zzye0ukwt04eveump6kuftm6c7fqdvmjd,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,107458467000000000000000000,107458467
core1r77vj6eh5jhd6k6p53pql95c26kx6lrafza6cv,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,32000000000000000000000000000,32000000000
core1rlkrrkfmcpqxn7535pwkap4cf8hhk0wan6rn8t,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2900983857000000000000000000,2900983857
core1ypnea5lhwzl5y576elarpqnk4uct6gxlvnhugx,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,6662137661000000000000000000,6662137661
core1yzck0fqcgvhvn2hnmeqxfdgj5yypqfmc8vljm2,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,359922170000000000000000000,359922170
core1yrnjcz4nqvvzps6cqzjauwq47k0wcallcehknm,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,294078090000000000000000000,294078090
core1yyatg2ma7sky43vm09ef5ukcr3y80kv9p5rqfc,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,5000000000000000000000000,5000000
core1yt777m77rqwqx9lgxpt2tvuqkyq9tqgl6s8lwn,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,732664883000000000000000000,732664883
core1yddgy3cq8u228gxhhu9tg5wecx7wqj6rqvkvsa,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,987728000000000000000000,987728
core1yd6jefflp678cat8a4wle2jqrucvz586xjwmcr,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2318638999000000000000000000,2318638999
core1yj2v2ha69uvu9cfmu89cmhrnww9cy9mgf7eu9q,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,39500000000000000000000000,39500000
core1y4l9zvnq4l52cwhmxr49plr2u5560u5lgqtctc,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3007779193000000000000000000,3007779193
core1y64nn954dc5av4j9xv0zu5p7ewycq6l725pcsx,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,366719664000000000000000000,366719664
core1yu42alyeyp0634vulgtkugnrz8rt0duxh903ym,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1503570059000000000000000000,1503570059
core19zt29j37pgrmfwp4x8dq9pw5ksrdfjjrpl37uz,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,8195000000000000000000000000,8195000000
core198zrcm8nlu3j42mvhls4h7ce0v66yxktnfd2km,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,402000000000000000000000000,402000000
core19t0dhrl444r4y4rlnnp297zagyfynl0nnjcw4z,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,11519247913000000000000000000,11519247913
core19vlxsp2p9sqplsw6zhjjtuchd2yg4wnnmlzmhn,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,23500000000000000000000000,23500000
core1907yn5r78ew4kjrwc9yd20ppzapmfwyhv6ck2q,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,540500000000000000000000000,540500000
core19swwymza4a0n8u8x9qf4wr5zj3plelklgge2q8,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,10000000000000000000000000,10000000
core19jsthsr0rmvthamjy4rh65hndu7g5z0uqqxsqk,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3369000000000000000000000000,3369000000
core197zxeld9wxj54ql448rkhsdkjuknxrkmavtwcr,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,21909974000000000000000000,21909974
core1xy5t8s4mul0xtj0gqhatv72j9m5lsg9pdwzvc2,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,21483658918000000000000000000,21483658918
core1xy7alfcugltf292y0sqnkp8m4ygzvj6gt5xzk8,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1155834886000000000000000000,1155834886
core1x8hfugzhfr0qerz2s9uppd2s3z7mhrzv6f2tah,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2600000000000000000000000000,2600000000
core1x2hq4nt5std9hujudfyljx8ce8z4g747wev0mr,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,100000000000000000000,100
core1xvnvask6nsekx7xsc0cfh5uts6vzk0d3372j79,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3179871051000000000000000000,3179871051
core1xc05azykaghlngrpwdml5g7xezv3vs6dcmfqwf,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,863900000000000000000000000,863900000
core1xmvk8fplud6w2qjvdnyzn900wys9285jerdhlk,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,90067000000000000000000000000,90067000000
core1xun7yhvgq998n04qxrgsrtt9fxt39ufas97rsj,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,49999984738000000000000000000,49999984738
core1xue6ll2ghy4qczg28umdff8wxe558mmmutr6j9,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,200000000000000000000000000,200000000
core1x7vrmx3zg8jw32c56u030zjmljwpjyywanht9p,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,105009582000000000000000000,105009582
core18fz3rvv8e5p4py7ykj0sfxkssrzhzr3tks5yf7,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,214400000000000000000000000,214400000
core18ta2rycu3qd8qazph28354ed0p6kspfv9d3jk9,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,6194277273000000000000000000,6194277273
core180uaqfp4z5l3s8n5pqjwkswmrzygg4f6jfv3sw,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,400000000000000000000000000,400000000
core1gvp86zrq7vk3e26cm80ptsyllqaqfckjpma038,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,56000000000000000000000000,56000000
core1gukrf927q36m7rqqy8vv6smncflvuu6yphq4nk,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,663670861000000000000000000,663670861
core1gaq8y7h5wj7apq8nv6tpjk3xtp4s9svtpunhyq,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,300000134218000000000000000000,300000134218
